Index,Subscription Date
215,15-01-2021
216,05-07-2020
217,05-12-2020
218,11-05-2021
219,01-03-2020
220,03-05-2020
221,17-12-2021
222,26-10-2020
223,10-09-2020
224,11-02-2020
225,26-01-2022
226,16-02-2021
227,15-03-2021
228,27-03-2020
229,30-03-2021
230,29-12-2021
231,13-07-2021
232,01-10-2020
233,02-03-2021
234,09-10-2020
235,10-05-2022
236,23-03-2022
237,18-12-2020
238,08-11-2020
239,12-04-2020
240,17-08-2020
241,18-10-2021
242,03-05-2022
243,26-01-2021
244,09-12-2021
245,29-04-2021
246,17-11-2021
247,28-03-2020
248,07-05-2020
249,01-05-2021
250,01-02-2021
251,08-12-2020
252,20-03-2021
253,23-09-2020
254,27-02-2022
255,22-02-2021
256,03-07-2020
257,25-09-2020
258,06-11-2020
259,25-11-2020
260,12-08-2021
261,20-06-2020
262,25-04-2021
263,05-01-2021
264,28-06-2021
265,24-07-2021
266,10-03-2021
267,01-08-2021
268,12-03-2020
269,13-10-2020
270,07-08-2021
271,10-07-2020
272,13-11-2021
273,29-05-2022
274,09-01-2021
275,28-03-2021
276,03-03-2021
277,27-07-2021
278,23-11-2020
279,24-10-2021
280,21-06-2020
281,23-03-2022
282,27-05-2020
283,26-03-2022
284,19-09-2020
285,12-04-2021
286,27-06-2020
287,15-08-2020
288,03-09-2021
289,01-04-2021
290,06-03-2022
291,10-07-2020
292,28-08-2020
293,16-10-2021
294,13-11-2021
295,17-02-2020
296,13-01-2022
297,08-10-2021
298,09-06-2020
299,04-05-2022
300,06-05-2021
301,19-03-2020
302,15-05-2021
303,03-04-2021
304,20-11-2021
305,07-12-2020
306,01-10-2020
307,05-06-2020
308,06-06-2021
309,02-02-2020
310,15-10-2021
311,25-04-2021
312,09-01-2022
313,01-01-2021
314,15-11-2021
315,18-05-2020
316,23-08-2020
317,21-11-2021
318,12-03-2021
319,22-02-2021
320,16-05-2022
321,16-06-2021
322,01-03-2020
323,09-03-2020
324,17-04-2022
325,01-06-2020
326,25-07-2020
327,06-08-2020
328,21-08-2020
329,15-01-2021
330,24-05-2021
331,04-08-2020
332,04-09-2021
333,28-12-2021
334,06-04-2022
335,24-01-2020
336,21-04-2020
337,21-06-2021
338,05-01-2021
339,11-05-2020
340,30-06-2020
341,04-04-2021
342,02-02-2020
343,10-02-2022
344,26-12-2020
345,11-05-2021
346,31-03-2022
347,06-03-2020
348,29-04-2022
349,10-12-2020
350,16-05-2021
351,30-05-2021
352,06-05-2020
353,18-06-2021
354,08-06-2021
355,01-11-2020
356,17-02-2021
357,09-09-2020
358,29-07-2021
359,08-03-2022
360,25-01-2020
361,29-10-2021
362,07-01-2020
363,12-03-2020
364,22-12-2020
365,05-05-2020
366,24-07-2020
367,09-04-2022
368,26-02-2020
369,19-11-2021
370,05-07-2020
371,30-05-2021
372,26-03-2022
373,21-04-2020
374,17-03-2021
375,12-01-2021
376,19-10-2020
377,24-01-2020
378,03-04-2020
379,05-01-2022
380,19-03-2021
381,15-03-2020
382,30-04-2022
383,05-11-2021
384,25-03-2022
385,27-08-2021
386,02-04-2020
387,06-12-2020
388,30-11-2021
389,13-08-2021
390,21-03-2021
391,26-10-2021
392,02-05-2021
393,24-05-2021
394,07-10-2020
395,06-10-2021
396,16-03-2020
397,20-05-2021
398,24-04-2020
399,31-03-2020
400,21-07-2020
401,16-11-2021
402,16-01-2022
403,17-04-2020
404,10-01-2022
405,30-01-2022
406,19-02-2022
407,19-10-2020
408,11-01-2022
409,30-04-2022
410,24-03-2020
411,18-07-2021
412,13-02-2021
413,15-07-2021
414,06-07-2021
415,25-08-2021
416,17-03-2020
417,11-02-2022
418,31-08-2021
419,20-03-2021
420,08-12-2021
421,02-12-2020
422,30-04-2020
423,01-02-2020
424,03-03-2020
425,28-04-2021
426,30-06-2021
427,16-02-2020
428,14-11-2021
429,29-07-2021
430,06-06-2021
431,22-11-2020
432,14-05-2020
433,26-08-2021
434,04-12-2021
435,15-12-2021
436,26-06-2020
437,03-12-2021
438,10-07-2021
439,26-02-2021
440,24-06-2021
441,17-05-2020
442,14-01-2020
443,27-10-2020
444,27-09-2020
445,29-03-2022
446,10-05-2020
447,31-01-2022
448,02-10-2020
449,21-08-2021
450,03-04-2021
451,25-01-2022
452,21-03-2020
453,18-10-2020
454,24-03-2022
455,27-12-2021
456,13-08-2021
457,07-04-2022
458,07-03-2020
459,13-11-2021
460,09-05-2022
461,26-07-2020
462,04-09-2020
463,22-09-2020
464,03-09-2021
465,08-05-2020
466,05-11-2021
467,12-04-2021
468,12-06-2020
469,12-01-2020
470,25-06-2021
471,01-01-2021
472,17-02-2020
473,05-04-2022
474,07-08-2021
475,23-09-2020
476,24-11-2021
477,12-05-2022
478,26-08-2020
479,19-01-2021
480,06-04-2020
481,21-10-2020
482,06-08-2021
483,30-07-2020
484,21-03-2022
485,03-04-2020
486,11-09-2021
487,24-05-2021
488,01-09-2020
489,09-08-2021
490,22-04-2022
491,16-10-2021
492,16-01-2020
493,20-07-2021
494,13-10-2021
495,02-02-2021
496,08-02-2020
497,13-04-2020
498,16-07-2020
499,24-01-2020
500,02-03-2021
501,27-01-2022
502,30-03-2022
503,15-01-2020
504,19-01-2020
505,20-07-2020
506,19-07-2021
507,28-04-2021
508,26-04-2020
509,19-07-2020
510,05-03-2020
511,22-06-2021
512,05-12-2020
513,29-05-2021
514,13-01-2022
515,25-02-2021
516,10-09-2020
517,11-01-2022
518,27-09-2020
519,08-11-2021
520,08-10-2021
521,20-01-2020
522,14-05-2020
523,29-01-2021
524,02-11-2021
525,16-03-2021
526,13-04-2020
527,11-06-2021
528,01-05-2020
529,27-11-2020
530,02-06-2020
531,02-08-2020
532,23-03-2020
533,11-11-2021
534,25-02-2022
535,30-08-2020
536,06-08-2020
537,25-12-2020
538,08-01-2021
539,16-02-2022
540,08-04-2022
541,31-05-2021
542,24-08-2021
543,14-06-2021
544,06-05-2021
545,16-12-2021
546,17-07-2020
547,17-05-2020
548,23-07-2020
549,12-10-2021
550,29-12-2021
551,29-04-2020
552,18-02-2021
553,02-08-2020
554,29-08-2021
555,04-02-2020
556,09-02-2022
557,19-04-2020
558,21-06-2020
559,28-01-2021
560,27-05-2020
561,31-12-2021
562,02-01-2022
563,21-01-2022
564,19-07-2021
565,30-05-2020
566,24-04-2021
567,14-11-2021
568,23-02-2022
569,22-09-2020
570,18-12-2020
571,03-02-2022
572,23-04-2022
573,03-12-2021
574,28-06-2020
575,28-09-2020
576,16-03-2021
577,30-12-2020
578,01-10-2021
579,14-03-2022
580,18-01-2022
581,13-08-2021
582,04-02-2020
583,04-01-2022
584,23-09-2021
585,27-04-2021
586,08-10-2020
587,07-11-2020
588,12-02-2021
589,14-04-2021
590,31-12-2021
591,05-01-2021
592,12-02-2022
593,24-06-2021
594,11-08-2021
595,21-12-2020
596,22-01-2022
597,02-05-2020
598,07-09-2021
599,29-02-2020
600,21-08-2021
601,01-01-2021
602,07-07-2021
603,20-03-2020
604,12-05-2020
605,15-01-2021
606,13-03-2020
607,18-11-2021
608,14-03-2022
609,15-05-2022
610,30-05-2020
611,12-10-2020
612,11-07-2020
613,29-03-2021
614,21-03-2020
615,08-08-2020
616,21-08-2020
617,14-07-2021
618,12-12-2020
619,03-10-2021
620,21-10-2020
621,02-02-2020
622,06-08-2020
623,06-10-2020
624,23-05-2022
625,12-10-2021
626,09-01-2022
627,16-07-2021
628,08-05-2022
629,03-02-2022
630,30-03-2022
631,11-01-2022
632,30-06-2020
633,26-10-2021
634,02-04-2021
635,21-08-2020
636,19-04-2020
637,20-07-2020
638,17-03-2021
639,08-04-2020
640,09-05-2022
641,01-12-2021
642,04-07-2021
643,23-12-2021
644,05-01-2021
645,18-02-2021
646,20-09-2021
647,07-06-2021
648,11-10-2021
649,27-10-2020
650,29-03-2021
651,23-02-2021
652,06-06-2020
653,22-07-2021
654,22-12-2020
655,30-12-2021
656,01-08-2021
657,20-11-2020
658,02-10-2020
659,22-07-2021
660,22-12-2020
661,08-02-2020
662,08-07-2021
663,25-08-2020
664,14-11-2020
665,05-12-2021
666,05-06-2021
667,20-08-2020
668,27-01-2020
669,15-04-2021
670,10-08-2021
671,05-03-2020
672,28-09-2021
673,11-07-2020
674,29-11-2020
675,09-11-2021
676,29-02-2020
677,22-09-2021
678,18-06-2021
679,21-01-2021
680,09-11-2021
681,27-05-2020
682,02-12-2021
683,01-05-2020
684,24-11-2021
685,06-02-2022
686,19-01-2022
687,08-09-2020
688,13-04-2021
689,08-01-2020
690,05-11-2021
691,23-05-2020
692,07-11-2020
693,18-10-2021
694,06-02-2020
695,17-10-2021
696,25-07-2021
697,10-02-2021
698,05-04-2022
699,04-01-2020
700,08-06-2020
701,06-02-2022
702,26-12-2021
703,17-02-2020
704,18-09-2021
705,14-12-2020
706,21-10-2021
707,30-01-2021
708,13-05-2021
709,15-04-2022
710,31-08-2020
711,13-10-2020
712,09-11-2020
713,02-12-2021
714,04-08-2021
715,09-04-2022
716,25-02-2020
717,12-06-2021
718,03-01-2022
719,29-04-2022
720,31-07-2020
721,12-02-2020
722,22-06-2020
723,27-03-2021
724,16-11-2020
725,06-04-2020
726,10-08-2021
727,11-05-2021
728,07-09-2020
729,27-06-2020
730,18-04-2022
731,18-03-2021
732,10-01-2021
733,17-04-2021
734,18-06-2021
735,28-04-2021
736,19-12-2021
737,23-12-2020
738,15-04-2020
739,06-08-2020
740,02-09-2020
741,26-07-2020
742,03-04-2022
743,19-06-2020
744,05-07-2021
745,04-04-2021
746,29-08-2021
747,29-08-2020
748,03-09-2020
749,09-12-2021
750,18-12-2021
751,13-06-2020
752,25-05-2021
753,08-10-2021
754,15-10-2020
755,06-01-2022
756,20-04-2022
757,10-09-2021
758,06-04-2020
759,03-05-2022
760,31-03-2022
761,16-04-2021
762,20-09-2021
763,20-03-2021
764,15-02-2020
765,15-04-2021
766,13-03-2022
767,04-11-2021
768,01-05-2022
769,20-09-2021
770,23-08-2020
771,12-03-2021
772,30-09-2021
773,15-04-2020
774,06-12-2020
775,17-09-2020
776,01-11-2020
777,13-03-2022
778,11-08-2021
779,16-07-2021
780,07-05-2021
781,21-03-2021
782,17-09-2021
783,22-03-2020
784,03-12-2020
785,22-03-2020
786,22-02-2022
787,12-02-2022
788,25-11-2021
789,05-06-2020
790,27-08-2021
791,04-09-2020
792,18-02-2020
793,21-10-2021
794,18-02-2020
795,09-03-2020
796,08-08-2020
797,09-05-2021
798,19-03-2022
799,05-05-2020
800,16-02-2022
801,26-02-2020
802,28-09-2021
803,04-02-2020
804,11-03-2022
805,02-05-2021
806,21-04-2020
807,19-04-2020
808,25-07-2021
809,13-04-2022
810,21-05-2022
811,24-08-2021
812,04-05-2020
813,05-10-2021
814,06-03-2021
815,12-02-2020
816,03-10-2020
817,03-02-2020
818,09-01-2021
819,28-07-2021
820,04-09-2020
821,16-03-2022
822,31-08-2021
823,16-04-2021
824,13-04-2020
825,14-12-2020
826,02-12-2020
827,09-01-2022
828,08-06-2021
829,23-11-2020
830,19-04-2020
831,14-03-2022
832,02-02-2020
833,19-05-2022
834,09-03-2021
835,09-09-2020
836,12-11-2021
837,04-02-2022
838,09-01-2022
839,13-12-2021
840,28-02-2022
841,26-10-2020
842,05-05-2020
843,05-11-2021
844,19-09-2021
845,30-01-2021
846,21-10-2020
847,18-03-2021
848,11-09-2020
849,29-06-2021
850,12-06-2021
851,12-03-2021
852,02-08-2020
853,29-06-2020
854,30-11-2020
855,10-04-2021
856,28-12-2020
857,28-12-2021
858,16-06-2021
859,13-12-2020
860,20-01-2021
861,21-05-2022
862,04-10-2021
863,25-10-2021
864,12-10-2020
865,11-05-2022
866,25-02-2020
867,23-07-2021
868,09-05-2022
869,24-11-2021
870,28-09-2021
871,27-03-2020
872,19-09-2021
873,18-04-2020
874,21-07-2021
875,02-05-2020
876,05-03-2022
877,18-01-2021
878,18-08-2021
879,14-05-2021
880,25-12-2020
881,17-01-2020
882,31-05-2020
883,12-07-2021
884,22-04-2021
885,03-12-2021
886,04-04-2020
887,15-05-2021
888,10-03-2020
889,13-09-2021
890,18-03-2020
891,03-06-2021
892,04-10-2021
893,13-09-2020
894,01-02-2021
895,03-10-2020
896,19-02-2021
897,18-01-2022
898,21-04-2020
899,24-07-2020
900,19-03-2022
901,11-03-2022
902,30-08-2021
903,08-10-2021
904,18-07-2020
905,06-02-2021
906,12-04-2021
907,15-02-2022
908,14-03-2021
909,13-07-2021
910,15-10-2020
911,09-09-2020
912,19-01-2020
913,19-04-2022
914,27-08-2021
915,03-04-2022
916,20-04-2022
917,15-02-2021
918,11-09-2021
919,10-05-2022
920,04-09-2021
921,16-02-2022
922,27-10-2020
923,12-05-2022
924,02-01-2021
925,26-11-2021
926,13-11-2020
927,30-06-2021
928,02-04-2020
929,01-02-2022
930,12-04-2022
931,04-10-2021
932,10-03-2021
933,14-10-2021
934,25-02-2020
935,25-03-2021
936,28-04-2022
937,29-09-2021
938,29-02-2020
939,22-04-2020
940,05-11-2021
941,07-01-2021
942,10-09-2020
943,23-03-2021
944,26-02-2020
945,18-09-2021
946,05-03-2022
947,11-04-2020
948,15-11-2021
949,16-03-2021
950,22-02-2020
951,05-09-2020
952,01-04-2020
953,03-11-2020
954,22-06-2021
955,27-10-2020
956,23-11-2021
957,24-06-2021
958,29-04-2020
959,08-05-2021
960,30-03-2022
961,10-01-2020
962,09-08-2020
963,31-10-2021
964,28-12-2020
965,31-05-2020
966,06-12-2021
967,05-02-2021
968,04-12-2021
969,31-03-2021
970,23-10-2021
971,22-06-2021
972,13-10-2020
973,14-01-2021
974,19-04-2021
975,02-05-2021
976,19-03-2020
977,19-08-2020
978,15-07-2021
979,31-07-2020
980,16-07-2021
981,18-11-2021
982,29-11-2020
983,22-10-2021
984,20-03-2020
985,18-06-2020
986,16-09-2020
987,22-12-2021
988,29-08-2021
989,01-05-2022
990,09-04-2021
991,06-05-2022
992,21-11-2021
993,20-08-2020
994,08-05-2020
995,29-01-2021
996,29-04-2021
997,16-12-2020
998,29-03-2020
999,21-02-2021
1000,01-07-2020
1001,24-03-2021
1002,06-01-2021
1003,07-07-2020
1004,19-06-2021
1005,26-09-2020
1006,04-01-2020
1007,21-12-2021
1008,05-08-2020
1009,27-08-2021
1010,14-10-2020
1011,04-04-2022
1012,15-04-2020
1013,18-11-2020
1014,12-01-2022
1015,15-05-2022
1016,14-01-2021
1017,08-08-2021
1018,02-07-2021
1019,19-05-2022
1020,11-10-2020
1021,29-04-2022
1022,19-04-2020
1023,10-08-2021
1024,21-07-2020
1025,02-09-2021
1026,14-10-2021
1027,23-03-2022
1028,19-10-2021
1029,24-05-2020
1030,31-03-2022
1031,08-02-2021
1032,17-05-2020
1033,09-09-2021
1034,27-01-2021
1035,07-05-2021
1036,12-04-2020
1037,26-02-2020
1038,04-01-2020
1039,02-04-2020
1040,11-04-2022
1041,19-01-2022
1042,31-01-2021
1043,22-05-2022
1044,04-06-2021
1045,25-03-2021
1046,30-01-2022
1047,02-04-2022
1048,16-02-2020
1049,14-05-2020
1050,14-09-2021
1051,22-12-2021
1052,14-04-2022
1053,30-08-2020
1054,18-02-2022
1055,19-10-2021
1056,03-04-2022
1057,04-01-2022
1058,01-07-2021
1059,19-02-2022
1060,07-02-2022
1061,28-07-2021
1062,20-04-2020
1063,07-12-2021
1064,12-07-2021
1065,01-09-2021
1066,13-01-2020
1067,23-08-2021
1068,14-03-2022
1069,24-12-2021
1070,25-02-2022
1071,31-01-2020
1072,28-11-2020
1073,24-03-2021
1074,24-01-2021
1075,17-01-2021
1076,14-05-2020
1077,01-12-2021
1078,13-02-2022
1079,18-09-2020
1080,24-07-2021
1081,05-08-2021
1082,14-08-2021
1083,26-03-2021
1084,27-07-2020
1085,19-07-2020
1086,22-09-2021
1087,05-09-2020
1088,05-06-2020
1089,05-05-2022
1090,13-06-2021
1091,26-01-2020
1092,24-03-2020
1093,22-03-2021
1094,23-07-2020
1095,30-03-2022
1096,10-08-2021
1097,10-09-2021
1098,10-03-2020
1099,03-11-2021
1100,19-04-2022
1101,02-10-2020
1102,20-08-2021
1103,04-04-2021
1104,23-02-2021
1105,05-11-2021
1106,14-02-2020
1107,17-02-2022
1108,26-08-2021
1109,10-07-2020
1110,10-04-2020
1111,31-03-2020
1112,30-11-2020
1113,26-06-2020
1114,02-06-2020
1115,27-02-2022
1116,05-04-2020
1117,29-11-2020
1118,10-03-2020
1119,29-12-2021
1120,03-07-2021
1121,17-10-2021
1122,06-10-2021
1123,26-09-2020
1124,29-05-2021
1125,19-06-2020
1126,25-01-2021
1127,17-06-2020
1128,25-02-2020
1129,11-09-2020
1130,26-05-2021
1131,13-03-2022
1132,30-12-2020
1133,21-06-2021
1134,14-05-2020
1135,04-12-2021
1136,24-09-2020
1137,11-03-2020
1138,10-08-2021
1139,29-08-2020
1140,06-12-2020
1141,12-02-2022
1142,08-04-2021
1143,01-06-2021
1144,06-01-2020
1145,09-01-2020
1146,11-04-2022
1147,14-01-2020
1148,09-04-2022
1149,05-11-2020
1150,05-01-2022
1151,23-11-2021
1152,20-05-2022
1153,08-04-2020
1154,18-01-2021
1155,25-01-2022
1156,26-01-2022
1157,26-10-2020
1158,16-02-2022
1159,08-01-2021
1160,31-03-2020
1161,11-02-2022
1162,17-02-2022
1163,31-01-2022
1164,25-01-2020
1165,03-06-2021
1166,01-04-2021
1167,06-10-2021
1168,24-09-2021
1169,29-08-2021
1170,02-01-2021
1171,20-06-2021
1172,31-01-2021
1173,30-12-2021
1174,06-04-2022
1175,03-04-2022
1176,28-05-2020
1177,10-04-2020
1178,06-03-2021
1179,08-10-2020
1180,03-08-2021
1181,05-03-2021
1182,03-05-2021
1183,04-11-2020
1184,17-01-2020
1185,01-06-2021
1186,16-05-2021
1187,22-03-2022
1188,19-11-2020
1189,23-09-2020
1190,22-08-2020
1191,24-01-2022
1192,11-05-2020
1193,19-05-2021
1194,16-02-2020
1195,09-02-2022
1196,01-01-2020
1197,23-02-2021
1198,12-04-2020
1199,29-09-2020
1200,27-01-2021
1201,31-08-2020
1202,13-02-2021
1203,06-08-2020
1204,02-07-2021
1205,20-05-2021
1206,15-01-2021
1207,08-05-2022
1208,01-09-2021
1209,18-09-2021
1210,22-06-2020
1211,13-01-2022
1212,12-06-2021
1213,03-08-2020
1214,01-02-2022
1215,29-07-2020
1216,31-03-2021
1217,22-08-2021
1218,04-01-2022
1219,06-11-2020
1220,07-08-2021
1221,21-11-2020
1222,06-10-2021
1223,01-02-2022
1224,18-06-2021
1225,11-11-2020
1226,08-02-2021
1227,02-08-2020
1228,01-02-2020
1229,15-07-2020
1230,30-10-2020
1231,04-11-2021
1232,22-10-2021
1233,12-05-2022
1234,26-07-2020
1235,19-12-2020
1236,07-02-2020
1237,24-06-2020
1238,30-01-2022
1239,13-12-2020
1240,14-08-2021
1241,27-04-2021
1242,23-05-2021
1243,09-08-2021
1244,13-05-2020
1245,26-03-2020
1246,20-06-2020
1247,04-10-2021
1248,26-09-2021
1249,29-12-2020
1250,05-08-2020
1251,03-09-2020
1252,25-10-2021
1253,27-10-2020
1254,21-11-2021
1255,12-01-2021
1256,22-12-2021
1257,07-11-2021
1258,14-06-2021
1259,06-02-2021
1260,04-12-2021
1261,04-03-2021
1262,04-05-2020
1263,22-06-2020
1264,10-09-2021
1265,02-12-2021
1266,26-11-2021
1267,24-03-2021
1268,04-01-2021
1269,27-03-2021
1270,15-04-2020
1271,12-11-2020
1272,13-01-2022
1273,30-07-2020
1274,30-06-2021
1275,21-05-2020
1276,09-12-2020
1277,12-07-2021
1278,08-10-2021
1279,11-05-2022
1280,13-06-2020
1281,13-06-2021
1282,23-03-2022
1283,11-03-2020
1284,13-10-2021
1285,16-04-2022
1286,23-02-2022
1287,30-09-2021
1288,26-05-2021
1289,19-04-2021
1290,05-10-2020
1291,21-03-2021
1292,17-01-2021
1293,20-02-2020
1294,01-08-2020
1295,13-04-2022
1296,13-11-2020
1297,14-04-2020
1298,21-03-2021
1299,08-10-2021
1300,19-10-2020
1301,04-08-2021
1302,01-05-2020
1303,06-09-2020
1304,19-05-2022
1305,16-09-2020
1306,18-12-2020
1307,16-05-2020
1308,12-11-2021
1309,19-01-2021
1310,28-11-2020
1311,23-04-2020
1312,27-07-2021
1313,05-05-2022
1314,09-03-2020
1315,09-09-2020
1316,22-01-2021
1317,12-03-2022
1318,02-03-2021
1319,06-03-2022
1320,05-05-2021
1321,30-04-2020
1322,22-12-2020
1323,08-10-2020
1324,27-04-2022
1325,09-05-2022
1326,02-03-2020
1327,24-01-2020
1328,03-02-2022
1329,24-08-2020
1330,31-01-2021
1331,07-08-2020
1332,11-11-2020
1333,12-07-2020
1334,19-07-2020
1335,24-11-2021
1336,31-03-2022
1337,12-09-2020
1338,02-05-2020
1339,08-07-2021
1340,19-12-2021
1341,12-11-2020
1342,28-12-2020
1343,06-11-2021
1344,08-12-2020
1345,05-07-2021
1346,31-01-2020
1347,26-03-2021
1348,13-09-2020
1349,08-08-2021
1350,16-04-2022
1351,04-08-2021
1352,12-04-2021
1353,04-05-2020
1354,08-10-2021
1355,19-01-2022
1356,22-02-2021
1357,28-09-2021
1358,12-08-2021
1359,08-01-2022
1360,29-10-2021
1361,25-03-2022
1362,14-11-2020
1363,05-10-2020
1364,20-03-2020
1365,26-10-2021
1366,23-07-2021
1367,01-04-2020
1368,22-04-2020
1369,25-01-2020
1370,15-05-2020
1371,24-08-2021
1372,12-03-2020
1373,13-07-2021
1374,20-05-2022
1375,28-01-2022
1376,02-09-2021
1377,24-01-2021
1378,07-01-2022
1379,12-01-2022
1380,07-03-2022
1381,29-07-2020
1382,30-12-2021
1383,16-01-2021
1384,02-11-2021
1385,01-03-2021
1386,09-11-2020
1387,15-06-2021
1388,21-03-2022
1389,08-07-2020
1390,22-01-2020
1391,24-04-2021
1392,17-01-2022
1393,24-01-2022
1394,05-04-2020
1395,12-10-2020
1396,17-11-2020
1397,05-05-2021
1398,17-02-2022
1399,01-07-2021
1400,27-03-2021
1401,21-06-2021
1402,09-01-2020
1403,15-08-2021
1404,28-12-2021
1405,06-07-2020
1406,09-05-2022
1407,10-06-2021
1408,28-06-2020
1409,08-02-2022
1410,20-07-2021
1411,09-06-2021
1412,21-05-2020
1413,19-07-2020
1414,13-08-2021
1415,20-03-2021
1416,28-05-2020
1417,29-01-2021
1418,11-12-2021
1419,21-11-2020
1420,04-03-2020
1421,22-02-2021
1422,06-08-2020
1423,05-11-2021
1424,11-10-2021
1425,20-04-2020
1426,12-04-2022
1427,16-02-2021
1428,20-02-2022
1429,05-07-2021
1430,04-08-2021
1431,06-10-2020
1432,14-06-2021
1433,12-04-2021
1434,10-03-2022
1435,15-05-2022
1436,19-12-2020
1437,23-07-2021
1438,06-09-2021
1439,06-02-2021
1440,24-02-2020
1441,05-05-2022
1442,03-06-2021
1443,20-08-2021
1444,04-03-2020
1445,20-04-2020
1446,12-04-2021
1447,23-01-2022
1448,27-01-2021
1449,30-04-2020
1450,16-05-2021
1451,29-05-2020
1452,21-06-2020
1453,04-01-2021
1454,10-10-2021
1455,30-12-2020
1456,02-09-2020
1457,10-01-2020
1458,22-08-2021
1459,20-05-2022
1460,04-04-2021
1461,13-02-2021
1462,21-05-2021
1463,07-06-2021
1464,16-04-2020
1465,18-04-2022
1466,22-02-2021
1467,19-09-2020
1468,06-03-2022
1469,30-11-2021
1470,06-05-2022
1471,10-04-2022
1472,24-07-2021
1473,15-05-2020
1474,17-08-2021
1475,23-09-2020
1476,23-04-2022
1477,18-02-2022
1478,23-04-2020
1479,11-01-2022
1480,11-05-2022
1481,29-11-2021
1482,25-01-2022
1483,29-02-2020
1484,16-06-2021
1485,27-08-2021
1486,12-09-2020
1487,16-11-2021
1488,05-07-2021
1489,10-05-2021
1490,03-12-2021
1491,16-02-2022
1492,03-03-2021
1493,02-02-2021
1494,13-07-2021
1495,09-05-2021
1496,03-01-2021
1497,30-03-2020
